trip_type,trip_date,trip_time,duration_sec,distance_miles,pickup_location,dropoff_location,points,tip_amount,pickup_wait_min,surge_amount
Electric,2026-04-02,9:40 PM,2868,25.35,"73Rd Ave, Fresh Meadows, Ny, Us","Benson Ave, Brooklyn, Ny, Us",5,0,0,0
Electric,2026-04-02,9:22 PM,538,1.06,"Aguilar Ave, Flushing, Ny, Us","Parsons Blvd, Fresh Meadows, Ny, Us",5,0,0,0
UberX,2026-04-02,6:57 PM,729,5.14,"Terminal C Outer Arrivals Rd, New York, Ny, Us","108Th St, Forest Hills, Ny, Us",5,0,0,0
UberX,2026-04-02,6:49 PM,312,1.07,"Astoria Blvd, East Elmhurst, Ny, Us","25Th Ave, East Elmhurst, Ny, Us",5,5,0.19,0
UberX,2026-04-02,6:26 PM,1003,1.81,"43Rd Ave, Elmhurst, Ny, Us","110Th St, Corona, Ny, Us",5,0,0,0
UberX,2026-04-02,6:05 PM,394,0.97,"102Nd St, Corona, Ny, Us","Junction Blvd, Corona, Ny, Us",5,0,0.43,0
UberX,2026-04-02,5:44 PM,609,1.05,"102Nd St, Corona, Ny, Us","Granger St, Corona, Ny, Us",5,0,0,0
UberX,2026-04-02,5:25 PM,820,0.78,"Roosevelt Ave, Elmhurst, Ny, Us","Roosevelt Ave, Corona, Ny, Us",5,0,0,0
UberX,2026-04-02,4:03 PM,2726,12.41,"Martense St, Brooklyn, Ny, Us","Terminal B, Laguardia Airport (Lga), Queens, Ny, Us",5,10.75,0,0
UberX,2026-04-02,3:56 PM,439,0.76,"E 39Th St, Brooklyn, Ny, Us","Martense St, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-02,3:08 PM,1068,3,"Flushing Ave, Brooklyn, Ny, Us","Empire Blvd, Brooklyn, Ny, Us",5,0,3,0
Electric,2026-04-02,2:33 PM,1430,3.92,"Union St, Brooklyn, Ny, Us","Morgan Ave, Brooklyn, Ny, Us",5,0,0,0
