Trip_Type,Date,Day_of_week,Time,Duration_Seconds,Distance_Miles,Pickup_Location,Dropoff_Location,Points,Tip,Pickup_Waittime_Seconds,Surge,Rider_Rating
UberX,2/7/2026,Saturday,5:45 PM,1120,1.70,"E 29th St, New York, NY, US","Hudson St, New York City, NY, US",5,0.00,3,1.00,
UberX VIP,2/7/2026,Saturday,5:14 PM,1758,5.35,"William St, New York, NY, US","E 29th St, New York, NY, US",5,0.00,0,1.69,
UberX,2/7/2026,Saturday,4:25 PM,2776,28.65,"Terminal 8 John F. Kennedy International Airport (JFK), Jamaica, NY, US","William St, New York, NY, US",5,0.00,0,0.00,
Comfort,2/7/2026,Saturday,3:57 PM,1486,7.96,"Juno St, Forest Hills, NY, US","Terminal 8, John F. Kennedy International Airport (JFK), New York, NY, US",5,0.00,0,0.00,
UberX,2/7/2026,Saturday,3:48 PM,323,0.99,"108th St, Forest Hills, NY, US","Burns St, Forest Hills, NY, US",5,0.00,0,0.00,
Electric,2/7/2026,Saturday,3:13 PM,1443,5.77,"Snediker Ave, Brooklyn, NY, US","71st Ave, Forest Hills, NY, US",5,0.00,47,0.00,
UberX,2/7/2026,Saturday,3:04 PM,307,0.88,"Pitkin Ave, Brooklyn, NY, US","Grafton St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/8/2026,Sunday,7:00 PM,930,2.03,"Himrod St, Brooklyn, NY, US","Grand St, Brooklyn, NY, US",5,0.00,58,0.00,
UberX,2/8/2026,Sunday,4:12 PM,3051,19.81,"E 108th St, Brooklyn, NY, US","E 158th St, Bronx, NY, US",5,0.00,244,0.00,
UberX,2/8/2026,Sunday,3:59 PM,410,1.40,"Rockaway Pkwy, Brooklyn, NY, US","Glenwood Rd, Brooklyn, NY, US",5,0.00,13,0.00,
UberX,2/8/2026,Sunday,3:41 PM,310,0.91,"Howard Ave, Brooklyn, NY, US","Rockaway Pkwy, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/8/2026,Sunday,3:34 PM,861,2.31,"Sterling St, Brooklyn, NY, US","Eastern Pkwy, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/8/2026,Sunday,3:27 PM,478,1.55,"Bergen St, Brooklyn, NY, US","Washington Ave, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,2/8/2026,Sunday,3:07 PM,420,0.91,"Saint Marks Ave, Brooklyn, NY, US","Saint Marks Ave, Brooklyn, NY, US",5,1.00,105,0.00,
UberX,2/8/2026,Sunday,2:51 PM,806,1.14,"City Point, Brooklyn, NY, US","Clinton Ave, Brooklyn, NY, US",5,1.00,0,0.00,
UberX VIP,2/8/2026,Sunday,2:00 PM,2832,10.17,"103rd St, Jamaica, NY, US","Albee Sq, Brooklyn, NY, US",5,11.71,0,0.00,
UberX,2/8/2026,Sunday,1:44 PM,681,2.97,"Euclid Ave, Brooklyn, NY, US","John F. Kennedy International Airport (JFK), Queens, NY, US",5,0.00,0,0.00,
UberX,2/9/2026,Monday,9:32 PM,936,3.44,"Bowery, New York City, NY, US","Greene Ave, Brooklyn, NY, US",5,5.79,0,0.00,
Comfort,2/9/2026,Monday,9:09 PM,1178,4.46,"Franklin St, Brooklyn, NY, US","Spring St, New York, NY, US",5,0.00,0,0.00,
UberX,2/9/2026,Monday,8:34 PM,1457,4.50,"Dean St, Brooklyn, NY, US","Dupont St, Brooklyn, NY, US",5,0.00,238,0.00,
Electric,2/9/2026,Monday,8:13 PM,526,1.41,"Myrtle Ave, Brooklyn, NY, US","Bedford Ave, Brooklyn, NY, US",5,0.00,50,0.00,
UberX,2/9/2026,Monday,7:17 PM,2964,6.76,"Ashford St, Brooklyn, NY, US","Willoughby Ave, Brooklyn, NY, US",5,0.00,31,0.00,
Electric,2/9/2026,Monday,5:58 PM,2284,5.37,"Madison St, Brooklyn, NY, US","Schroeders Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/9/2026,Monday,5:40 PM,484,1.36,"Hancock St, Ridgewood, NY, US","Harman St, Brooklyn, NY, US",5,0.00,121,0.00,
UberX,2/9/2026,Monday,5:22 PM,933,2.05,"Dean St, Brooklyn, NY, US","Centre St, Ridgewood, NY, US",5,0.00,0,0.00,
UberX,2/9/2026,Monday,4:52 PM,1238,2.09,"Pitkin Ave, Brooklyn, NY, US","Pitkin Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/11/2026,Wednesday,8:03 PM,488,1.68,"Jerome St, Brooklyn, NY, US","Dumont Ave, Brooklyn, NY, US",5,0.00,119,0.00,
UberX,2/11/2026,Wednesday,7:36 PM,1414,3.97,"Church Ave, Brooklyn, NY, US","Stanley Ave, Brooklyn, NY, US",5,0.00,106,0.00,
Electric,2/11/2026,Wednesday,6:12 PM,621,1.19,"Pine St, Brooklyn, NY, US","Wells St, Brooklyn, NY, US",5,0.00,0,0.00,
