Trip_Type,Date,Day_of_week,Time,Duration_Seconds,Distance_Miles,Pickup_Location,Dropoff_Location,Points,Tip,Pickup_Waittime_Seconds,Surge,Rider_Rating
UberX,3/4/2026,Wednesday,1:34 PM,486,1.44,"Stanley Ave, Brooklyn, NY, US","New Lots Ave and Van Sinderen Ave, Brooklyn, NY, US",0,0.00,70,0.00,
Electric,3/4/2026,Wednesday,1:11 PM,634,1.78,"Hemlock St, Brooklyn, NY, US","Gateway Dr, Brooklyn, NY, US",0,0.00,0,0.00,
Share,3/4/2026,Wednesday,1:43 PM,581,1.47,"New Lots Ave, Brooklyn, NY, US","Hegeman Ave, Brooklyn, NY, US",0,0.00,0,0.00,
Comfort,3/5/2026,Thursday,3:37 PM,1149,2.32,"Bushwick Ave, Brooklyn, NY, US","Myrtle Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/6/2026,Friday,2:58 PM,1551,6.59,"DeWitt Ave, Brooklyn, NY, US","Kings Plz, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/6/2026,Friday,2:55 PM,618,1.15,"Cleveland St, Brooklyn, NY, US","Hinsdale St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/6/2026,Friday,2:05 PM,1571,3.82,"McKinley Ave, Brooklyn, NY, US","McKinley Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/6/2026,Friday,9:54 AM,1142,4.31,"E 94th St, Brooklyn, NY, US","Foster Ave, Brooklyn, NY, US",5,0.00,149,0.00,
UberX,3/6/2026,Friday,9:47 AM,378,1.27,"Flatlands Ave, Brooklyn, NY, US","Flatlands Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/6/2026,Friday,9:09 AM,1303,4.54,"Sutter Ave, Brooklyn, NY, US","Ralph Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/6/2026,Friday,8:25 AM,978,3.42,"N Conduit Ave, Springfield Gardens, NY, US","W Hawthorne Ave, Valley Stream, NY, US",5,0.00,0,0.00,
UberX,3/6/2026,Friday,7:36 AM,1081,4.47,"157th St, Jamaica, NY, US","West Cir, Valley Stream, NY, US",5,0.00,0,0.00,
UberX,3/6/2026,Friday,7:36 AM,670,1.76,"Sutphin Blvd, Jamaica, NY, US","Guy R Brewer Blvd, Jamaica, NY, US",0,0.00,0,0.00,
UberX,3/6/2026,Friday,7:21 AM,589,1.10,"126th St, Richmond Hill, NY, US","Sutphin Blvd, Jamaica, NY, US",0,0.00,0,0.00,
UberX,3/6/2026,Friday,6:46 AM,662,3.14,"48th Ave, Corona, NY, US","Kew Gardens Rd, Kew Gardens, NY, US",0,0.00,0,0.00,
UberX,3/6/2026,Friday,6:13 AM,1147,8.75,"St Anns Ave, Bronx, NY, US","Van Cleef St, Corona, NY, US",0,0.00,0,0.00,
UberX,3/6/2026,Friday,5:46 AM,2056,16.68,"Logan St, Brooklyn, NY, US","Saint Anns Ave, Bronx, NY, US",0,0.00,0,0.00,
UberX,3/6/2026,Friday,5:37 AM,240,0.61,"Pine St, Brooklyn, NY, US","Crescent St, Brooklyn, NY, US",0,0.00,0,0.00,
Electric,3/6/2026,Friday,1:57 PM,292,0.78,"Pitkin Ave and Euclid Ave, Brooklyn, NY, US","Liberty Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/9/2026,Monday,2:31 PM,149,0.52,"Marine Ave, Brooklyn, NY, US","89th St, Brooklyn, NY, US",0,1.00,0,0.00,
UberX,3/9/2026,Monday,1:50 PM,2260,8.67,"Madison St, Brooklyn, NY, US","7th Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/9/2026,Monday,10:42 AM,560,1.36,"Clermont Ave, Brooklyn, NY, US","Vanderbilt Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/9/2026,Monday,10:23 AM,653,1.07,"Hanson Pl, Brooklyn, NY, US","Gold St, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/9/2026,Monday,9:51 AM,1202,2.92,"Linden Blvd, Brooklyn, NY, US","Flatbush Ave, Brooklyn, NY, US",5,0.00,50,0.00,
UberX,3/9/2026,Monday,9:06 AM,2117,6.08,"Euclid Ave, Brooklyn, NY, US","Linden Blvd, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/9/2026,Monday,8:45 AM,440,1.80,"81st St, Howard Beach, NY, US","Woodhaven Blvd, Queens, NY, US",5,0.00,0,0.00,
UberX,3/9/2026,Monday,8:38 AM,201,0.75,"Huron St, Howard Beach, NY, US","Cross Bay Blvd, Howard Beach, NY, US",5,0.00,0,0.00,
UberX,3/9/2026,Monday,7:30 AM,2661,9.49,"Jefferson Ave, Brooklyn, NY, US","JFK Expy and S Cargo Rd, New York, NY, US",5,10.72,0,0.00,
UberX Priority,3/9/2026,Monday,6:43 AM,1136,2.72,"2330 Linden Blvd, New York, NY, US","Van Sinderen Ave, Brooklyn, NY, US",0,0.00,0,1.00,
Share,3/9/2026,Monday,9:02 AM,306,0.82,"78th St, Ozone Park, NY, US","Jamaica Ave, Woodhaven, NY, US",5,0.00,0,0.00,
UberX,3/12/2026,Thursday,9:57 AM,1080,0.63,"E 53rd St, New York, NY, US","W 49th St, New York, NY, US",5,0.00,0,0.00,
UberX,3/12/2026,Thursday,9:27 AM,400,0.76,"E 63rd St, New York, NY, US","Park Ave, New York, NY, US",5,0.00,0,2.00,
UberX,3/12/2026,Thursday,8:55 AM,889,1.89,"E 78th St, New York, NY, US","Madison Ave, New York, NY, US",5,0.00,52,9.25,
UberX,3/12/2026,Thursday,8:07 AM,731,1.64,"10th Ave, New York, NY, US","E 28th St, New York City, NY, US",5,0.00,0,7.25,
UberX,3/12/2026,Thursday,7:23 AM,1230,4.06,"Clermont Ave, Brooklyn, NY, US","Hudson St, New York City, NY, US",5,0.00,0,2.50,
UberX,3/12/2026,Thursday,7:07 AM,1283,3.30,"Frost St, Brooklyn, NY, US","Myrtle Ave, Brooklyn, NY, US",0,0.00,101,0.00,
UberX,3/12/2026,Thursday,6:32 AM,1797,5.08,"Warwick St, Brooklyn, NY, US","Metropolitan Ave, Ridgewood, NY, US",0,0.00,0,0.00,
Comfort,3/12/2026,Thursday,7:55 AM,371,1.65,"Hudson St, New York City, NY, US","10th Ave, New York City, NY, US",5,0.00,0,10.53,
Electric,3/12/2026,Thursday,10:23 AM,1148,1.48,"W 35th St, New York City, NY, US","E 23rd St, New York City, NY, US",0,4.71,0,0.00,
UberX,3/17/2026,Tuesday,5:56 PM,367,0.68,"1206 E New York Ave, Brooklyn, NY, US","Lincoln Pl, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/17/2026,Tuesday,4:27 PM,327,0.56,"Pitt St, New York, NY, US","E Houston St, New York, NY, US",5,0.00,73,0.00,
UberX,3/17/2026,Tuesday,4:06 PM,1122,2.20,"7th Ave, New York, NY, US","Delancey St, New York City, NY, US",5,0.00,0,0.00,
UberX,3/17/2026,Tuesday,3:40 PM,1012,2.48,"W 45th St, New York, NY, US","W 17th St, New York City, NY, US",5,0.00,0,0.00,
UberX,3/17/2026,Tuesday,1:35 PM,506,1.28,"Decatur St, Brooklyn, NY, US","Van Sinderen Ave, Brooklyn, NY, US",0,0.00,11,0.00,
UberX,3/17/2026,Tuesday,11:06 AM,1501,3.09,"E New York Ave, Brooklyn, NY, US","E 81st St, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/17/2026,Tuesday,10:52 AM,1439,4.55,"Atlantic Ave, Brooklyn, NY, US","Mother Gaston Blvd, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/17/2026,Tuesday,10:30 AM,1900,4.77,"Livonia Ave, Brooklyn, NY, US","Atlantic Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/17/2026,Tuesday,8:58 AM,1408,7.44,"Pennsylvania Ave, Brooklyn, NY, US","Ocean Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/17/2026,Tuesday,8:39 AM,1052,3.48,"Montauk Ave, Brooklyn, NY, US","Louisiana Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/17/2026,Tuesday,8:19 AM,669,1.79,"Schenck Ave, Brooklyn, NY, US","Pitkin Ave and Euclid Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/17/2026,Tuesday,8:17 AM,229,1.00,"Linden Blvd, Brooklyn, NY, US","Van Siclen Ave, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,3/17/2026,Tuesday,6:06 PM,497,0.93,"E New York Ave, Brooklyn, NY, US","Grafton St, Brooklyn, NY, US",5,0.00,28,0.00,
Electric,3/17/2026,Tuesday,2:44 PM,907,1.33,"Gramercy Park S, New York City, NY, US","Park Ave, New York City, NY, US",5,0.00,0,0.00,
Electric,3/17/2026,Tuesday,1:57 PM,2448,6.85,"Prescott Pl, Brooklyn, NY, US","Union Sq E, New York, NY, US",0,0.00,0,0.00,
Electric,3/17/2026,Tuesday,9:43 AM,1254,3.89,"Avenue K, Brooklyn, NY, US","Park Pl, Brooklyn, NY, US",5,2.85,0,0.00,
UberX,3/19/2026,Thursday,5:11 PM,1034,1.80,"e new york ave, Brooklyn, NY, US","Bedford Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/19/2026,Thursday,5:03 PM,396,0.63,"Carroll St, Brooklyn, NY, US","E New York Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/19/2026,Thursday,4:29 PM,655,1.77,"Ralph Ave, Brooklyn, NY, US","Clifton Pl, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/19/2026,Thursday,3:05 PM,219,0.86,"86th St, Ozone Park, NY, US","80 St and Liberty Ave, Jamaica, NY, US",5,0.00,0,0.00,
UberX,3/19/2026,Thursday,2:29 PM,1050,0.67,"108th St, Ozone Park, NY, US","Rockaway Blvd, Ozone Park, NY, US",5,0.00,170,0.00,
UberX,3/19/2026,Thursday,2:02 PM,1185,6.53,"E 105th St, Brooklyn, NY, US","Rockaway Blvd, Queens, NY, US",0,0.00,0,0.00,
UberX,3/19/2026,Thursday,1:55 PM,814,2.75,"Linden Blvd, Brooklyn, NY, US","E 107th St, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/19/2026,Thursday,1:08 PM,831,2.80,"104th St, Ozone Park, NY, US","Foch Blvd, Jamaica, NY, US",0,0.00,17,0.00,
UberX,3/19/2026,Thursday,12:53 PM,209,0.69,"108th St, South Richmond Hill, NY, US","Atlantic Ave, Ozone Park, NY, US",0,0.00,0,0.00,
UberX,3/19/2026,Thursday,12:31 PM,182,0.57,"Amber St, Brooklyn, NY, US","153rd Ave, Howard Beach, NY, US",0,0.00,28,0.00,
UberX,3/19/2026,Thursday,12:03 PM,643,1.42,"Liberty Ave, Brooklyn, NY, US","86th St, Woodhaven, NY, US",0,0.00,0,0.00,
UberX,3/19/2026,Thursday,11:52 AM,304,1.42,"Lafayette St, Ozone Park, NY, US","Liberty Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/19/2026,Thursday,11:40 AM,330,1.27,"149th Ave, Howard Beach, NY, US","Crossbay Blvd, Ozone Park, NY, US",0,0.00,77,0.00,
UberX,3/19/2026,Thursday,11:28 AM,375,1.28,"Sutter Ave, Brooklyn, NY, US","Linden Blvd, Brooklyn, NY, US",0,0.00,0,0.00,
Electric,3/19/2026,Thursday,4:46 PM,853,1.90,"Clifton Pl, Brooklyn, NY, US","Carroll St, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,3/19/2026,Thursday,3:55 PM,880,2.19,"Sterling Pl, Brooklyn, NY, US","Crosby Ave, Brooklyn, NY, US",5,0.00,0,0.00,
Comfort,3/19/2026,Thursday,3:16 PM,1828,4.83,"79th St, Howard Beach, NY, US","Sterling Pl, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,3/19/2026,Thursday,1:33 PM,318,1.99,"S Conduit Blvd, Jamaica, NY, US","134th Ave, Jamaica, NY, US",0,0.00,0,0.00,
Comfort,3/19/2026,Thursday,12:43 PM,534,2.14,"151st Ave, Howard Beach, NY, US","105th St, Ozone Park, NY, US",0,0.00,0,0.00,
UberX,3/23/2026,Monday,1:54 PM,867,2.79,"Fountain Ave, Brooklyn, NY, US","Hegeman Ave, Brooklyn, NY, US",0,0.00,70,0.00,
UberX,3/23/2026,Monday,2:09 PM,849,1.63,"Strauss St, Brooklyn, NY, US","Strauss St, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/23/2026,Monday,2:29 PM,1120,2.10,"E 98th St, Brooklyn, NY, US","Church Ave, Brooklyn, NY, US",0,0.00,2,0.00,
UberX,3/23/2026,Monday,2:52 PM,636,1.28,"Newport St, Brooklyn, NY, US","Eastern Pkwy, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/23/2026,Monday,4:53 PM,1025,2.78,"E 40th St, Brooklyn, NY, US","Kings Hwy, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/23/2026,Monday,4:38 PM,672,1.62,"E 91st St, Brooklyn, NY, US","Lenox Rd, Brooklyn, NY, US",5,3.00,0,0.00,
UberX,3/23/2026,Monday,8:24 PM,2118,15.72,"Queens Blvd, Rego Park, NY, US","Glenwood Rd, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/23/2026,Monday,7:23 PM,554,2.30,"Cortelyou Rd, Brooklyn, NY, US","7th Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/23/2026,Monday,6:50 PM,135,0.41,"E 18th St, Brooklyn, NY, US","Avenue H, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/23/2026,Monday,6:42 PM,278,0.83,"E 15th St, Brooklyn, NY, US","Ocean Ave, Brooklyn, NY, US",5,1.00,0,0.00,
UberX,3/23/2026,Monday,6:04 PM,1332,3.86,"E 73rd St, Brooklyn, NY, US","E 16th St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/23/2026,Monday,5:48 PM,742,2.35,"Farragut Rd, Brooklyn, NY, US","Cove Ln, Brooklyn, NY, US",5,0.00,45,0.00,
UberX,3/23/2026,Monday,5:36 PM,313,0.91,"E 92nd St, Brooklyn, NY, US","Farragut Rd, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/23/2026,Monday,5:19 PM,655,2.34,"4410 Avenue H, Brooklyn, NY 11234, Brooklyn, NY, US","E 93rd St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/23/2026,Monday,3:30 PM,1301,3.42,"Bristol St, Brooklyn, NY, US","Flatbush Ave, Brooklyn, NY, US",5,0.00,64,0.00,
UberX,3/23/2026,Monday,3:34 PM,166,0.55,"New Lots Ave, Brooklyn, NY, US","Watkins St, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,3/23/2026,Monday,8:14 PM,752,2.10,"41st Ave, Corona, NY, US","Queens Blvd, Rego Park, NY, US",5,0.00,0,0.00,
Comfort,3/23/2026,Monday,7:36 PM,2124,12.01,"8th St, Brooklyn, NY, US","95th St, Jackson Heights, NY, US",5,0.00,0,0.00,
Electric,3/23/2026,Monday,4:16 PM,843,1.85,"Clarkson Ave, Brooklyn, NY, US","Lenox Rd, Brooklyn, NY, US",5,0.00,0,0.00,
Share,3/23/2026,Monday,3:18 PM,494,1.17,"Sutter Ave, Brooklyn, NY, US","Snediker Ave, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,3/23/2026,Monday,3:07 PM,617,1.37,"Atlantic Ave, Brooklyn, NY, US","Sutter Ave, Brooklyn, NY, US",5,0.00,0,0.00,
Comfort,3/24/2026,Tuesday,2:53 PM,1407,3.55,"Bushwick Ave, Brooklyn, NY, US","N 6th St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/26/2026,Thursday,4:06 PM,508,1.29,"Loring Ave, Brooklyn, NY, US","Pitkin Ave and Euclid Ave, Brooklyn, NY, US",5,0.00,43,0.00,
UberX,3/26/2026,Thursday,3:14 PM,2870,6.50,"Gates Ave, Brooklyn, NY, US","Forbell St, Brooklyn, NY, US",5,0.00,3,0.00,
UberX,3/26/2026,Thursday,7:25 PM,790,1.80,"87th St, Jackson Heights, NY, US","69th St, Maspeth, NY, US",5,0.00,0,0.00,
UberX,3/26/2026,Thursday,7:02 PM,586,1.29,"62-01 Woodside Ave, Woodside, NY, US","70th St, East Elmhurst, NY, US",5,0.00,0,0.00,
UberX,3/26/2026,Thursday,6:55 PM,245,0.51,"61st St, Woodside, NY, US","Queens Blvd, Woodside, NY, US",5,0.00,0,0.00,
UberX,3/26/2026,Thursday,6:39 PM,560,2.41,"59th Dr, Maspeth, NY, US","43rd Ave, Woodside, NY, US",5,0.00,0,0.00,
UberX,3/26/2026,Thursday,5:58 PM,1594,4.25,"Park Ave, Brooklyn, NY, US","58th Pl, Woodside, NY, US",5,0.00,52,0.00,
UberX,3/26/2026,Thursday,5:21 PM,1308,2.35,"Weirfield St, Ridgewood, NY, US","Throop Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/26/2026,Thursday,4:53 PM,1903,3.86,"Queens Blvd, Elmhurst, NY, US","Cornelia St, Ridgewood, NY, US",5,2.94,0,0.00,
UberX,3/26/2026,Thursday,4:28 PM,1393,3.99,"75th St, Woodhaven, NY, US","Queens Blvd, Elmhurst, NY, US",5,0.00,0,0.00,
UberX,3/26/2026,Thursday,4:19 PM,685,1.63,"Euclid Ave, Brooklyn, NY, US","Eldert Ln, Woodhaven, NY, US",5,0.00,0,0.00,
UberX,3/26/2026,Thursday,1:37 PM,733,1.80,"Fulton St, Brooklyn, NY, US","Wyckoff Ave, Ridgewood, NY, US",0,0.00,0,0.00,
UberX,3/26/2026,Thursday,1:23 PM,831,2.00,"Wortman Ave, Brooklyn, NY, US","Van Sinderen Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/26/2026,Thursday,12:59 PM,1242,2.84,"Evergreen Ave, Brooklyn, NY, US","Wortman Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/26/2026,Thursday,12:48 PM,256,0.58,"Jefferson Ave, Brooklyn, NY, US","Wilson Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/26/2026,Thursday,11:56 AM,695,2.43,"Marion St, Brooklyn, NY, US","Essex St, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/26/2026,Thursday,11:39 AM,505,1.31,"Vermont St, Brooklyn, NY, US","Van Sinderen Ave, Brooklyn, NY, US",0,0.00,0,0.00,
Electric,3/26/2026,Thursday,7:43 PM,268,0.46,"Grand Ave, Maspeth, NY, US","Flushing Ave, New York, NY, US",5,0.00,0,0.00,
Electric,3/26/2026,Thursday,2:59 PM,216,0.65,"Woodbine St, Brooklyn, NY, US","Greene Ave, Brooklyn, NY, US",5,0.00,86,0.00,
UberX,3/27/2026,Friday,7:39 PM,485,1.41,"Madison Ave, New York, NY, US","Madison Ave, New York City, NY, US",5,0.00,0,0.00,
UberX,3/27/2026,Friday,7:51 PM,1312,2.54,"Madison Ave, New York, NY, US","Broadway, New York, NY, US",5,4.79,0,0.00,
UberX,3/27/2026,Friday,3:38 PM,7680,49.34,"Nostrand Ave, Brooklyn, NY, US","Marshall Ave, Rockaway, NJ, US",5,0.00,0,0.00,
UberX,3/27/2026,Friday,3:14 PM,1320,3.97,"Seaview Ct, Brooklyn, NY, US","Nostrand Ave, Brooklyn, NY, US",5,0.00,169,0.00,
UberX,3/27/2026,Friday,2:52 PM,518,1.15,"Fountain Ave, Brooklyn, NY, US","Gateway Dr, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/27/2026,Friday,2:40 PM,415,1.72,"Lincoln Ave, Brooklyn, NY, US","Vandalia Ave, Brooklyn, NY, US",5,0.00,0,0.00,
Comfort,3/27/2026,Friday,8:52 PM,870,1.41,"Hudson St, New York, NY, US","Howard St, New York, NY, US",5,0.00,0,0.00,
Comfort Electric,3/27/2026,Friday,8:19 PM,1593,3.56,"W 52nd St, New York, NY, US","Perry St, New York, NY, US",5,0.00,0,0.00,
Comfort,3/27/2026,Friday,5:37 PM,5040,39.84,"Boonton St, Dover, NJ, US","Madison Ave, New York, NY, US",5,0.00,0,0.00,
Electric,3/27/2026,Friday,3:02 PM,553,2.96,"Gateway Dr, Brooklyn, NY, US","Shore Pkwy, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/28/2026,Saturday,3:01 PM,3840,16.96,"Terminal 1, John F. Kennedy International Airport (JFK), Jamaica, NY, US","W 35th St, New York City, NY, US",5,12.01,10,0.00,
UberX,3/28/2026,Saturday,2:31 PM,1086,6.54,"Dumont Ave, Brooklyn, NY, US","Terminal 4, John F. Kennedy International Airport (JFK), New York, NY, US",5,0.00,29,0.00,
UberX,3/28/2026,Saturday,2:18 PM,400,1.36,"Fountain Ave, Brooklyn, NY, US","Atlantic Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,5:14 PM,891,2.74,"Gateway Dr, Brooklyn, NY, US","Belmont Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,5:05 PM,298,1.04,"Hegeman Ave, Brooklyn, NY, US","Schroeders Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,2:33 PM,961,4.76,"Flushing Ave, Brooklyn, NY, US","50th Ave, Sunnyside, NY, US",5,3.12,0,0.00,
UberX,3/29/2026,Sunday,1:58 PM,2750,7.59,"Geneva Loop, Brooklyn, NY, US","Carlton Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,1:46 PM,524,1.58,"Euclid Ave, Brooklyn, NY, US","Gateway Dr, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,6:27 PM,1290,3.22,"Farragut Rd, Brooklyn, NY, US","Farragut Rd, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,6:14 PM,324,1.32,"Vandalia Ave, Brooklyn, NY, US","E 105th St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,5:57 PM,368,1.14,"New Jersey Ave, Brooklyn, NY, US","Sutter Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,5:42 PM,460,1.61,"Junius St, Brooklyn, NY, US","Georgia Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/29/2026,Sunday,5:37 PM,310,0.74,"pitkin ave, New York, NY, US","Junius St, Brooklyn, NY, US",5,0.00,89,0.00,
Comfort,3/29/2026,Sunday,6:14 PM,690,1.93,"Bristol St, Brooklyn, NY, US","Vermont St, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,3/30/2026,Monday,8:14 PM,498,2.73,"E 233rd St, Bronx, NY, US","N Macquesten Pkwy, Mt Vernon, NY, US",5,0.00,0,0.00,
UberX,3/30/2026,Monday,7:51 PM,1140,8.24,"W 137th St, New York, NY, US","E 236th St, Bronx, NY, US",5,0.00,0,0.00,
UberX,3/30/2026,Monday,7:18 PM,749,2.65,"W 152nd St, New York, NY, US","Richman Plz, Bronx, NY, US",5,0.00,0,0.00,
UberX,3/30/2026,Monday,6:53 PM,775,3.78,"Vermilyea Ave, New York, NY, US","Dr Martin Luther King Jr Blvd, Bronx, NY, US",5,0.00,0,0.00,
UberX,3/30/2026,Monday,6:00 PM,1830,9.18,"E 161st St, Bronx, NY, US","Post St, Yonkers, NY, US",5,0.00,0,0.00,
UberX,3/30/2026,Monday,5:31 PM,911,1.17,"Westchester Ave, Bronx, NY, US","Grand Concourse, Bronx, NY, US",5,0.00,45,0.00,
UberX,3/30/2026,Monday,5:04 PM,849,3.96,"Taylor Ave, Bronx, NY, US","Trinity Ave, Bronx, NY, US",5,0.00,98,0.00,
Electric,3/30/2026,Monday,4:08 PM,3026,16.31,"W Broadway, New York, NY, US","Taylor Ave, Bronx, NY, US",5,0.00,0,0.00,
UberX,3/30/2026,Monday,3:29 PM,1103,2.78,"Park Ave, New York, NY, US","Leonard St, New York, NY, US",5,3.61,0,0.00,
UberX,3/30/2026,Monday,2:39 PM,644,1.55,"43rd ave, Sunnyside, NY, US","30th St, Astoria, NY, US",1,0.00,0,0.00,
UberX,3/30/2026,Monday,1:58 PM,1667,4.42,"Bleecker St, Ridgewood, NY, US","28th St, Long Island City, NY, US",1,0.00,0,0.00,
UberX,3/30/2026,Monday,1:44 PM,650,1.70,"Irving Ave, Brooklyn, NY, US","Fresh Pond Rd, Ridgewood, NY, US",1,0.00,0,0.00,
UberX,3/30/2026,Monday,1:12 PM,698,1.99,"Schaefer St, Brooklyn, NY, US","Wyckoff Ave, Brooklyn, NY, US",1,0.00,10,0.00,
UberX,3/31/2026,Tuesday,8:21 PM,309,1.10,"1600 Sheepshead Bay Rd, Brooklyn, NY, US","Parkway Ct, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/31/2026,Tuesday,8:09 PM,311,0.73,"Sheepshead Bay Rd, Brooklyn, NY, US","Sheepshead Bay Rd, New York, NY, US",5,3.00,0,0.00,
UberX,3/31/2026,Tuesday,7:36 PM,1847,10.47,"Rockaway Ave, Brooklyn, NY, US","E 12th St, Brooklyn, NY, US",5,0.00,0,0.00,
Share,3/31/2026,Tuesday,7:27 PM,368,1.30,"Junius St, Brooklyn, NY, US","Pitkin Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,3/31/2026,Tuesday,7:03 PM,1074,2.65,"Gateway Dr, Brooklyn, NY, US","Osborn St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX Priority,3/31/2026,Tuesday,6:28 PM,295,0.88,"Sutter Ave, Brooklyn, NY, US","Loring Ave, Brooklyn, NY, US",5,0.00,48,0.00,
UberX,3/31/2026,Tuesday,6:02 PM,536,1.61,"Lefferts Blvd, South Richmond Hill, NY, US","129th St, South Ozone Park, NY, US",5,0.00,0,0.00,
UberX,3/31/2026,Tuesday,5:00 PM,503,0.88,"84th Ave, Richmond Hill, NY, US","Audley St, Kew Gardens, NY, US",5,0.00,0,0.00,
UberX,3/31/2026,Tuesday,4:31 PM,1322,2.75,"159th St, Flushing, NY, US","Grosvenor Rd, Richmond Hill, NY, US",5,0.00,0,0.00,
UberX,3/31/2026,Tuesday,3:53 PM,1800,7.48,"125th St, College Point, NY, US","Utopia Pkwy, Queens, NY, US",5,0.00,0,0.00,
UberX,3/31/2026,Tuesday,3:20 PM,1418,5.58,"Terminal B, Flushing, NY, US","117th St, College Point, NY, US",5,0.00,24,0.00,
Electric,3/31/2026,Tuesday,2:30 PM,2728,10.09,"W 38th St, New York, NY, US","Terminal B, LaGuardia Airport (LGA), Queens, NY, US",5,17.45,0,0.00,
UberX Priority,3/31/2026,Tuesday,2:04 PM,1144,2.87,"Franklin St, New York, NY, US","W 33rd St, New York City, NY, US",1,0.00,0,0.00,
UberX,3/31/2026,Tuesday,1:43 PM,744,3.07,"Atlantic Ave, Brooklyn, NY, US","Broadway, New York City, NY, US",1,0.00,0,0.00,
UberX,3/31/2026,Tuesday,12:42 PM,2935,6.71,"Crescent St, Brooklyn, NY, US","Atlantic Ave, Brooklyn, NY, US",1,0.00,0,0.00,
Electric,4/2/2026,Thursday,9:40 PM,2868,25.35,"73rd Ave, Fresh Meadows, NY, US","Benson Ave, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,4/2/2026,Thursday,9:22 PM,538,1.06,"Aguilar Ave, Flushing, NY, US","Parsons Blvd, Fresh Meadows, NY, US",5,0.00,0,0.00,
UberX,4/2/2026,Thursday,6:57 PM,729,5.14,"Terminal C Outer Arrivals Rd, New York, NY, US","108th St, Forest Hills, NY, US",5,0.00,0,0.00,
UberX,4/2/2026,Thursday,6:49 PM,312,1.07,"Astoria Blvd, East Elmhurst, NY, US","25th Ave, East Elmhurst, NY, US",5,5.00,11,0.00,
